Month,Total Inc,% Inc AP,AP Count in INC,Total Req,% Req ,AP Count in Req,Total Stories,% Story AP,AP Count in Stories
2020-Jan-01,143,39%,56,65,25%,16,16,31%,5
2020-Feb-01,112,39%,44,491,49%,243,116,12%,14
2020-Mar-01,271,28%,77,4881,41%,1980,69,25%,17
2020-Apr-01,139,29%,41,2983,36%,1059,57,19%,11
2020-May-01,168,29%,49,987,36%,355,73,56%,41
2020-Jun-01,187,35%,66,845,37%,315,43,37%,16
2020-Jul-01,185,34%,63,951,43%,413,78,18%,14
2020-Aug-01,208,35%,72,972,40%,386,88,49%,43
2020-Sep-01,169,33%,56,789,49%,383,68,35%,24
2020-Oct-01,164,18%,30,491,37%,181,108,25%,27
2020-Nov-01,104,34%,35,358,44%,157,88,24%,21
